Data Set 2:Wavelength(nm),Data Set 2:Absorbance
380.69999999999999,0.067623544564244797
381.5,0.06341782639234439
382.19999999999999,0.056721171793112202
383,0.049478497507898345
383.80000000000001,0.04348077277963025
384.5,0.038935221994946589
385.30000000000001,0.03639330765158566
386.10000000000002,0.031969502633164337
386.80000000000001,0.028211442119657981
387.60000000000002,0.02409069094671068
388.39999999999998,0.022279929347875038
389.10000000000002,0.01949785244667912
389.89999999999998,0.0165805336280338
390.69999999999999,0.01350580227931375
391.39999999999998,0.010259885751320752
392.19999999999999,0.0079179385853465067
393,0.0059941676035555336
393.69999999999999,0.0045842909294167011
394.5,0.0040485251560817836
395.30000000000001,0.0042323299870523634
396,0.0050876510636146399
396.80000000000001,0.0048245230079839718
397.60000000000002,0.0045279645066036434
398.30000000000001,0.0054735305171900173
399.10000000000002,0.006527487704415913
399.89999999999998,0.0076306054529964307
400.60000000000002,0.0082103061721741089
401.39999999999998,0.0090743928021930209
402.19999999999999,0.0098964737109497047
402.89999999999998,0.0099064309231757797
403.69999999999999,0.010209201438276638
404.5,0.010532250175326441
405.19999999999999,0.010755833226818279
406,0.010549644123769353
406.80000000000001,0.010718254122500603
407.5,0.011220307391384132
408.30000000000001,0.011622751930588704
409,0.011941968930876401
409.80000000000001,0.012319964360413271
410.60000000000002,0.013164220414711103
411.30000000000001,0.01378635099158565
412.10000000000002,0.014338550858063348
412.89999999999998,0.014806959118025986
413.60000000000002,0.015228137188971758
414.39999999999998,0.014530742177269795
415.19999999999999,0.014414912525998691
415.89999999999998,0.013626559281840755
416.69999999999999,0.014309489751475724
417.5,0.014131398803866935
418.19999999999999,0.014252739026157313
419,0.014550310602428063
419.80000000000001,0.01511905730276708
420.5,0.015710132743852911
421.30000000000001,0.015562267152898546
422.10000000000002,0.015448936813410752
422.80000000000001,0.015794644649081979
423.60000000000002,0.016030544189777451
424.39999999999998,0.015800551919497918
425.10000000000002,0.015145797688502327
425.89999999999998,0.014887363855164093
426.69999999999999,0.015103560371286795
427.39999999999998,0.014827702200534976
428.19999999999999,0.014472618740802856
429,0.014007657958765574
429.69999999999999,0.014249819621994453
430.5,0.014508844261746701
431.30000000000001,0.014699576929522173
432,0.014727661768648481
432.80000000000001,0.014692067316052437
433.60000000000002,0.014810221594431017
434.30000000000001,0.014476279389585622
435.10000000000002,0.014346085894445304
435.89999999999998,0.01418782355271575
436.60000000000002,0.014555424794308269
437.39999999999998,0.015179876152083827
438.19999999999999,0.01513629413984785
438.89999999999998,0.015714979753955305
439.69999999999999,0.015546112293544523
440.5,0.016616106362857153
441.19999999999999,0.017222220276702283
442,0.017638110578055866
442.80000000000001,0.017894215327219243
443.5,0.017446799464286844
444.30000000000001,0.017549677098404048
445.10000000000002,0.01770710000102893
445.80000000000001,0.018196628594632225
446.60000000000002,0.018728362405247889
447.39999999999998,0.018535747094555743
448.10000000000002,0.018014238395833715
448.89999999999998,0.01783928966659909
449.69999999999999,0.017233516205260146
450.39999999999998,0.017445068645036477
451.19999999999999,0.017540817400265585
452,0.018309673105630031
452.69999999999999,0.018933790870888423
453.5,0.019228656621115281
454.30000000000001,0.020166163324774722
455,0.020895482463862969
455.80000000000001,0.021947707929008686
456.60000000000002,0.022626689246368903
457.30000000000001,0.023396170643635417
458.10000000000002,0.024148550043539441
458.89999999999998,0.02447608894056108
459.60000000000002,0.024438091054443056
460.39999999999998,0.024794667907991563
461.19999999999999,0.025368033314520755
461.89999999999998,0.026458288281713038
462.69999999999999,0.027244878094617064
463.5,0.027224793416662951
464.19999999999999,0.02784143741846723
465,0.028239540652071016
465.80000000000001,0.029600293257783461
466.5,0.030766922511188843
467.30000000000001,0.030915895974987118
468.10000000000002,0.031086628315630804
468.80000000000001,0.031156038154217525
469.60000000000002,0.032016597453340845
470.39999999999998,0.032692987893827796
471.10000000000002,0.032850646401885619
471.89999999999998,0.03353546655358608
472.69999999999999,0.033608540689280098
473.39999999999998,0.033817990532359676
474.19999999999999,0.033813900839219313
475,0.034469010791288168
475.69999999999999,0.035049205293294916
476.5,0.035637718998512424
477.30000000000001,0.035878830883065316
478,0.036328713679764979
478.80000000000001,0.036410437007019292
479.60000000000002,0.037501395919012026
480.30000000000001,0.037913782899757997
481.10000000000002,0.039063127017069821
481.89999999999998,0.039311071413651977
482.60000000000002,0.040296587057566002
483.39999999999998,0.041097404045309816
484.19999999999999,0.042022638383661715
484.89999999999998,0.043215440810023154
485.69999999999999,0.043387840939244082
486.5,0.043431716651577634
487.19999999999999,0.043239401457058291
488,0.043590982600931971
488.80000000000001,0.044218766358643302
489.5,0.044666533305569134
490.30000000000001,0.045372202867313582
491.10000000000002,0.045686943367226229
491.80000000000001,0.045393082837811738
492.60000000000002,0.045212429370941498
493.39999999999998,0.044856834299778159
494.10000000000002,0.044532386417266645
494.89999999999998,0.044478466910511827
495.69999999999999,0.044619875570015566
496.39999999999998,0.045276165906380283
497.19999999999999,0.045370345044581928
498,0.045834965191162258
498.69999999999999,0.046101430077426953
499.5,0.045983528089019066
500.30000000000001,0.045024626213732377
501,0.044513514699267898
501.80000000000001,0.043924830034638429
502.60000000000002,0.043932090242892574
503.30000000000001,0.043605232184200426
504.10000000000002,0.043075925603840659
504.80000000000001,0.042925991101893768
505.60000000000002,0.04240527968537422
506.39999999999998,0.042277885367377088
507.10000000000002,0.041946383978511248
507.89999999999998,0.042012701805623553
508.69999999999999,0.041850333815169893
509.39999999999998,0.041256866425239958
510.19999999999999,0.040969797894299331
511,0.041265708620104036
511.80000000000001,0.041233370341515974
